event_id,object_id,e2o_qualifier
print_w_tickettr24,tr24,Printed weighing ticket for pickup plan
input_tally_sheettr24,tr24,Tally Sheet for pickup plan
eval_trs_exittr24_Pcp56,tr24,Exit evaluation for truck
load_trucktr25,tr25,cargo load for truck
load_trucktr39,tr39,cargo load for truck
weigh_empty_trucktr5,tr5,Truck weighed
weigh_empty_trucktr47,tr47,Truck weighed
weigh_empty_trucktr14,tr14,Truck weighed
print_w_tickettr43,tr43,Printed weighing ticket for pickup plan
input_tally_sheettr43,tr43,Tally Sheet for pickup plan
eval_trs_exittr43_Pcp26,tr43,Exit evaluation for truck
load_trucktr31,tr31,cargo load for truck
weigh_empty_trucktr48,tr48,Truck weighed
weigh_empty_trucktr20,tr20,Truck weighed
weigh_empty_trucktr6,tr6,Truck weighed
weigh_loaded_trucktr45,tr45,Truck weighed
load_trucktr6,tr6,cargo load for truck
weigh_loaded_trucktr13,tr13,Truck weighed
weigh_empty_trucktr10,tr10,Truck weighed
load_trucktr48,tr48,cargo load for truck
weigh_loaded_trucktr9,tr9,Truck weighed
weigh_loaded_trucktr12,tr12,Truck weighed
load_trucktr44,tr44,cargo load for truck
load_trucktr26,tr26,cargo load for truck
weigh_empty_trucktr8,tr8,Truck weighed
load_trucktr20,tr20,cargo load for truck
load_trucktr5,tr5,cargo load for truck
load_trucktr47,tr47,cargo load for truck
weigh_empty_trucktr2,tr2,Truck weighed
load_trucktr14,tr14,cargo load for truck
load_trucktr8,tr8,cargo load for truck
weigh_empty_trucktr16,tr16,Truck weighed
load_trucktr10,tr10,cargo load for truck
weigh_empty_trucktr41,tr41,Truck weighed
load_trucktr2,tr2,cargo load for truck
load_trucktr41,tr41,cargo load for truck
weigh_loaded_trucktr17,tr17,Truck weighed
weigh_empty_trucktr36,tr36,Truck weighed
load_trucktr36,tr36,cargo load for truck
weigh_loaded_trucktr28,tr28,Truck weighed
weigh_loaded_trucktr33,tr33,Truck weighed
weigh_empty_trucktr37,tr37,Truck weighed
input_tally_sheettr11,tr11,Tally Sheet for pickup plan
print_w_tickettr11,tr11,Printed weighing ticket for pickup plan
eval_trs_exittr11_Pcp18,tr11,Exit evaluation for truck
load_trucktr37,tr37,cargo load for truck
load_trucktr16,tr16,cargo load for truck
print_w_tickettr49,tr49,Printed weighing ticket for pickup plan
input_tally_sheettr49,tr49,Tally Sheet for pickup plan
eval_trs_exittr49_Pcp64,tr49,Exit evaluation for truck
weigh_loaded_trucktr42,tr42,Truck weighed
assign_trs_Pcp34,tr15,Pickup plan trucks assignment
weigh_empty_trucktr32,tr32,Truck weighed
weigh_loaded_trucktr3,tr3,Truck weighed
assign_trs_Pcp79,tr43,Pickup plan trucks assignment
weigh_empty_trucktr40,tr40,Truck weighed
assign_trs_Pcp15,tr24,Pickup plan trucks assignment
input_tally_sheettr33,tr33,Tally Sheet for pickup plan
print_w_tickettr33,tr33,Printed weighing ticket for pickup plan
eval_trs_exittr33_Pcp29,tr33,Exit evaluation for truck
weigh_loaded_trucktr38,tr38,Truck weighed
weigh_loaded_trucktr50,tr50,Truck weighed
weigh_empty_trucktr35,tr35,Truck weighed
weigh_loaded_trucktr6,tr6,Truck weighed
load_trucktr35,tr35,cargo load for truck
input_tally_sheettr17,tr17,Tally Sheet for pickup plan
print_w_tickettr17,tr17,Printed weighing ticket for pickup plan
eval_trs_exittr17_Pcp92,tr17,Exit evaluation for truck
weigh_loaded_trucktr21,tr21,Truck weighed
weigh_loaded_trucktr47,tr47,Truck weighed
weigh_loaded_trucktr48,tr48,Truck weighed
weigh_loaded_trucktr44,tr44,Truck weighed
weigh_loaded_trucktr22,tr22,Truck weighed
weigh_empty_trucktr27,tr27,Truck weighed
load_trucktr32,tr32,cargo load for truck
load_trucktr27,tr27,cargo load for truck
weigh_loaded_trucktr23,tr23,Truck weighed
weigh_loaded_trucktr2,tr2,Truck weighed
weigh_loaded_trucktr7,tr7,Truck weighed
input_tally_sheettr38,tr38,Tally Sheet for pickup plan
print_w_tickettr38,tr38,Printed weighing ticket for pickup plan
eval_trs_exittr38_Pcp36,tr38,Exit evaluation for truck
weigh_empty_trucktr46,tr46,Truck weighed
input_tally_sheettr21,tr21,Tally Sheet for pickup plan
print_w_tickettr21,tr21,Printed weighing ticket for pickup plan
eval_trs_exittr21_Pcp52,tr21,Exit evaluation for truck
weigh_loaded_trucktr19,tr19,Truck weighed
input_tally_sheettr50,tr50,Tally Sheet for pickup plan
print_w_tickettr50,tr50,Printed weighing ticket for pickup plan
eval_trs_exittr50_Pcp84,tr50,Exit evaluation for truck
input_tally_sheettr42,tr42,Tally Sheet for pickup plan
print_w_tickettr42,tr42,Printed weighing ticket for pickup plan
eval_trs_exittr42_Pcp56,tr42,Exit evaluation for truck
input_tally_sheettr28,tr28,Tally Sheet for pickup plan
print_w_tickettr28,tr28,Printed weighing ticket for pickup plan
eval_trs_exittr28_Pcp95,tr28,Exit evaluation for truck
load_trucktr40,tr40,cargo load for truck
print_w_tickettr6,tr6,Printed weighing ticket for pickup plan
input_tally_sheettr6,tr6,Tally Sheet for pickup plan
eval_trs_exittr6_Pcp52,tr6,Exit evaluation for truck
weigh_loaded_trucktr30,tr30,Truck weighed
input_tally_sheettr19,tr19,Tally Sheet for pickup plan
print_w_tickettr19,tr19,Printed weighing ticket for pickup plan
eval_trs_exittr19_Pcp41,tr19,Exit evaluation for truck
input_tally_sheettr44,tr44,Tally Sheet for pickup plan
print_w_tickettr44,tr44,Printed weighing ticket for pickup plan
eval_trs_exittr44_Pcp29,tr44,Exit evaluation for truck
weigh_loaded_trucktr16,tr16,Truck weighed
assign_trs_Pcp37,tr11,Pickup plan trucks assignment
assign_trs_Pcp39,tr17,Pickup plan trucks assignment
input_tally_sheettr22,tr22,Tally Sheet for pickup plan
print_w_tickettr22,tr22,Printed weighing ticket for pickup plan
eval_trs_exittr22_Pcp69,tr22,Exit evaluation for truck
print_w_tickettr47,tr47,Printed weighing ticket for pickup plan
input_tally_sheettr47,tr47,Tally Sheet for pickup plan
eval_trs_exittr47_Pcp92,tr47,Exit evaluation for truck
weigh_loaded_trucktr34,tr34,Truck weighed
weigh_loaded_trucktr39,tr39,Truck weighed
print_w_tickettr48,tr48,Printed weighing ticket for pickup plan
input_tally_sheettr48,tr48,Tally Sheet for pickup plan
eval_trs_exittr48_Pcp77,tr48,Exit evaluation for truck
weigh_loaded_trucktr1,tr1,Truck weighed
load_trucktr46,tr46,cargo load for truck
assign_trs_Pcp63,tr49,Pickup plan trucks assignment
assign_trs_Pcp50,tr33,Pickup plan trucks assignment
weigh_loaded_trucktr27,tr27,Truck weighed
print_w_tickettr23,tr23,Printed weighing ticket for pickup plan
input_tally_sheettr23,tr23,Tally Sheet for pickup plan
eval_trs_exittr23_Pcp36,tr23,Exit evaluation for truck
assign_trs_Pcp30,tr38,Pickup plan trucks assignment
print_w_tickettr2,tr2,Printed weighing ticket for pickup plan
input_tally_sheettr2,tr2,Tally Sheet for pickup plan
eval_trs_exittr2_Pcp26,tr2,Exit evaluation for truck
print_w_tickettr3,tr3,Printed weighing ticket for pickup plan
input_tally_sheettr3,tr3,Tally Sheet for pickup plan
eval_trs_exittr3_Pcp13,tr3,Exit evaluation for truck
assign_trs_Pcp66,tr50,Pickup plan trucks assignment
weigh_loaded_trucktr4,tr4,Truck weighed
weigh_loaded_trucktr18,tr18,Truck weighed
input_tally_sheettr30,tr30,Tally Sheet for pickup plan
print_w_tickettr30,tr30,Printed weighing ticket for pickup plan
eval_trs_exittr30_Pcp36,tr30,Exit evaluation for truck
weigh_loaded_trucktr25,tr25,Truck weighed
weigh_loaded_trucktr5,tr5,Truck weighed
print_w_tickettr16,tr16,Printed weighing ticket for pickup plan
input_tally_sheettr16,tr16,Tally Sheet for pickup plan
eval_trs_exittr16_Pcp52,tr16,Exit evaluation for truck
print_w_tickettr7,tr7,Printed weighing ticket for pickup plan
