event_id,timestamp,activity
print_w_tickettr42,2024-04-11 10:35:25,Print the Weighing Ticket
eval_trs_exittr42_Pcp56,2024-04-02 11:08:51,Evaluate the Truck Exit
input_tally_sheettr42,2024-04-02 11:08:51,Input the Tally Sheet
input_tally_sheettr42,2024-04-04 11:42:49,Input the Tally Sheet
input_tally_sheettr42,2024-04-08 11:47:23,Input the Tally Sheet
input_tally_sheettr42,2024-04-10 10:51:06,Input the Tally Sheet
input_tally_sheettr42,2024-04-11 10:35:25,Input the Tally Sheet
print_w_tickettr28,2024-04-02 11:09:58,Print the Weighing Ticket
print_w_tickettr28,2024-04-04 16:00:41,Print the Weighing Ticket
print_w_tickettr28,2024-04-08 10:48:31,Print the Weighing Ticket
print_w_tickettr28,2024-04-09 15:33:22,Print the Weighing Ticket
print_w_tickettr28,2024-04-11 12:42:03,Print the Weighing Ticket
input_tally_sheettr28,2024-04-02 11:09:58,Input the Tally Sheet
input_tally_sheettr28,2024-04-04 16:00:41,Input the Tally Sheet
input_tally_sheettr28,2024-04-08 10:48:31,Input the Tally Sheet
input_tally_sheettr28,2024-04-09 15:33:22,Input the Tally Sheet
input_tally_sheettr28,2024-04-11 12:42:03,Input the Tally Sheet
eval_trs_exittr28_Pcp95,2024-04-02 11:09:58,Evaluate the Truck Exit
load_trucktr40,2024-04-02 11:11:23,Load Truck
load_trucktr40,2024-04-03 17:56:18,Load Truck
load_trucktr40,2024-04-05 16:42:29,Load Truck
load_trucktr40,2024-04-09 16:56:44,Load Truck
load_trucktr40,2024-04-11 12:04:28,Load Truck
print_w_tickettr6,2024-04-02 11:15:11,Print the Weighing Ticket
print_w_tickettr6,2024-04-04 10:17:46,Print the Weighing Ticket
print_w_tickettr6,2024-04-05 08:26:01,Print the Weighing Ticket
print_w_tickettr6,2024-04-08 10:34:17,Print the Weighing Ticket
print_w_tickettr6,2024-04-09 11:06:15,Print the Weighing Ticket
print_w_tickettr6,2024-04-10 17:00:58,Print the Weighing Ticket
eval_trs_exittr6_Pcp52,2024-04-02 11:15:11,Evaluate the Truck Exit
input_tally_sheettr6,2024-04-02 11:15:11,Input the Tally Sheet
input_tally_sheettr6,2024-04-04 10:17:46,Input the Tally Sheet
input_tally_sheettr6,2024-04-05 08:26:01,Input the Tally Sheet
input_tally_sheettr6,2024-04-08 10:34:17,Input the Tally Sheet
input_tally_sheettr6,2024-04-09 11:06:15,Input the Tally Sheet
input_tally_sheettr6,2024-04-10 17:00:58,Input the Tally Sheet
weigh_loaded_trucktr30,2024-04-02 11:17:58,Weigh the Loaded Truck
weigh_loaded_trucktr30,2024-04-03 18:15:59,Weigh the Loaded Truck
weigh_loaded_trucktr30,2024-04-08 14:21:22,Weigh the Loaded Truck
weigh_loaded_trucktr30,2024-04-10 08:43:57,Weigh the Loaded Truck
input_tally_sheettr19,2024-04-02 11:34:46,Input the Tally Sheet
input_tally_sheettr19,2024-04-03 11:55:10,Input the Tally Sheet
input_tally_sheettr19,2024-04-04 15:43:28,Input the Tally Sheet
input_tally_sheettr19,2024-04-08 11:27:07,Input the Tally Sheet
input_tally_sheettr19,2024-04-10 23:32:26,Input the Tally Sheet
eval_trs_exittr19_Pcp41,2024-04-02 11:34:46,Evaluate the Truck Exit
print_w_tickettr19,2024-04-02 11:34:46,Print the Weighing Ticket
print_w_tickettr19,2024-04-03 11:55:10,Print the Weighing Ticket
print_w_tickettr19,2024-04-04 15:43:28,Print the Weighing Ticket
print_w_tickettr19,2024-04-08 11:27:07,Print the Weighing Ticket
print_w_tickettr19,2024-04-10 23:32:26,Print the Weighing Ticket
eval_trs_exittr44_Pcp29,2024-04-02 11:47:51,Evaluate the Truck Exit
input_tally_sheettr44,2024-04-02 11:47:51,Input the Tally Sheet
input_tally_sheettr44,2024-04-03 15:02:43,Input the Tally Sheet
input_tally_sheettr44,2024-04-05 16:56:05,Input the Tally Sheet
input_tally_sheettr44,2024-04-09 16:43:03,Input the Tally Sheet
input_tally_sheettr44,2024-04-11 22:52:08,Input the Tally Sheet
print_w_tickettr44,2024-04-02 11:47:51,Print the Weighing Ticket
print_w_tickettr44,2024-04-03 15:02:43,Print the Weighing Ticket
print_w_tickettr44,2024-04-05 16:56:05,Print the Weighing Ticket
print_w_tickettr44,2024-04-09 16:43:03,Print the Weighing Ticket
print_w_tickettr44,2024-04-11 22:52:08,Print the Weighing Ticket
weigh_loaded_trucktr16,2024-04-02 11:49:02,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-04-04 07:28:53,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-04-05 14:01:38,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-04-08 15:26:15,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-04-10 07:26:51,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-04-11 10:12:14,Weigh the Loaded Truck
assign_trs_Pcp37,2024-04-02 11:55:30,Assign Trucks
assign_trs_Pcp37,2024-04-03 09:41:32,Assign Trucks
assign_trs_Pcp39,2024-04-02 11:56:15,Assign Trucks
assign_trs_Pcp39,2024-04-02 17:34:56,Assign Trucks
input_tally_sheettr22,2024-04-02 11:57:05,Input the Tally Sheet
input_tally_sheettr22,2024-04-04 08:28:51,Input the Tally Sheet
input_tally_sheettr22,2024-04-08 07:59:58,Input the Tally Sheet
input_tally_sheettr22,2024-04-09 14:39:25,Input the Tally Sheet
input_tally_sheettr22,2024-04-10 14:00:32,Input the Tally Sheet
